`201120120AB484`	`20112012`	`0`	`AB`	484	`Amended Senate`	NULL	NULL	NULL	NULL	`20110AB48496AMD`	`Y`	`HS_INT`	2012-02-15 11:03:58	`CS55`	`Committee`	`Senate`	`In Committee Process`	2011-03-18 00:00:00
`201120120AB41`	`20112012`	`0`	`AB`	41	`Amended Senate`	NULL	NULL	NULL	NULL	`20110AB4196AMD`	`Y`	`HS_INT`	2012-02-15 16:20:52	`Second Reading`	`Floor`	`Senate`	`In Floor Process`	2011-01-06 00:00:00
`201120120ACR109`	`20112012`	`0`	`ACR`	109	`Introduced`	NULL	NULL	NULL	NULL	`20110ACR10999INT`	`Y`	`HS_INT`	2012-02-15 09:22:47	NULL	`Desk`	`Assembly`	`Pending Referral`	NULL
`201120120SB1072`	`20112012`	`0`	`SB`	1072	`Introduced`	NULL	NULL	NULL	NULL	`20110SB107299INT`	`Y`	`HS_INT`	2012-02-15 13:01:48	NULL	`Rules`	`Senate`	`Pending Referral`	2012-03-16 00:00:00
`201120120SB1073`	`20112012`	`0`	`SB`	1073	`Introduced`	NULL	NULL	NULL	NULL	`20110SB107399INT`	`Y`	`HS_INT`	2012-02-15 13:01:48	NULL	`Rules`	`Senate`	`Pending Referral`	2012-03-16 00:00:00
`201120120ACR110`	`20112012`	`0`	`ACR`	110	`Introduced`	NULL	NULL	NULL	NULL	`20110ACR11099INT`	`Y`	`HS_INT`	2012-02-15 09:22:47	NULL	`Desk`	`Assembly`	`Pending Referral`	NULL
`201120120AB1682`	`20112012`	`0`	`AB`	1682	`Introduced`	NULL	NULL	NULL	NULL	`20110AB168299INT`	`Y`	`HS_INT`	2012-02-15 09:22:32	NULL	`Desk`	`Assembly`	`Pending Referral`	2012-03-16 00:00:00
`201120120AB1683`	`20112012`	`0`	`AB`	1683	`Introduced`	NULL	NULL	NULL	NULL	`20110AB168399INT`	`Y`	`HS_INT`	2012-02-15 09:22:32	NULL	`Desk`	`Assembly`	`Pending Referral`	2012-03-16 00:00:00
`201120120AB1684`	`20112012`	`0`	`AB`	1684	`Introduced`	NULL	NULL	NULL	NULL	`20110AB168499INT`	`Y`	`HS_INT`	2012-02-15 09:22:32	NULL	`Desk`	`Assembly`	`Pending Referral`	2012-03-16 00:00:00
`201120120AB1685`	`20112012`	`0`	`AB`	1685	`Introduced`	NULL	NULL	NULL	NULL	`20110AB168599INT`	`Y`	`HS_INT`	2012-02-15 09:22:32	NULL	`Desk`	`Assembly`	`Pending Referral`	2012-03-16 00:00:00
