`20110AB169099INT`	`201120120AB1690`	99	2012-02-15 00:00:00	`Introduced`	NULL	`Private nuisance: remedies.`	`Majority`	`No`	`No`	`No`	NULL	`No`	`No`	BILL_VERSION_TBL_1.lob	`Y`	`LEG_ESI`	2012-02-15 16:46:24
`20110AB169199INT`	`201120120AB1691`	99	2012-02-15 00:00:00	`Introduced`	NULL	`CalWORKs: welfare-to-work activities.`	`Majority`	`No`	`Yes`	`No`	NULL	`No`	`No`	BILL_VERSION_TBL_2.lob	`Y`	`LEG_ESI`	2012-02-15 16:47:27
`20110AB169299INT`	`201120120AB1692`	99	2012-02-15 00:00:00	`Introduced`	NULL	`Bankruptcy: redevelopment: successor agencies.`	`Majority`	`No`	`Yes`	`No`	NULL	`No`	`No`	BILL_VERSION_TBL_3.lob	`Y`	`LEG_ESI`	2012-02-15 16:48:08
`20110AB169399INT`	`201120120AB1693`	99	2012-02-15 00:00:00	`Introduced`	NULL	`Mental health: persons incompetent to stand trial: pilot program expansion.`	`Majority`	`No`	`Yes`	`Yes`	NULL	`No`	`No`	BILL_VERSION_TBL_4.lob	`Y`	`LEG_ESI`	2012-02-15 16:48:44
`20110AB169499INT`	`201120120AB1694`	99	2012-02-15 00:00:00	`Introduced`	NULL	`Gas pipeline safety inspections.`	`Majority`	`No`	`Yes`	`No`	NULL	`No`	`No`	BILL_VERSION_TBL_5.lob	`Y`	`LEG_ESI`	2012-02-15 16:49:55
`20110SB108799INT`	`201120120SB1087`	99	2012-02-15 00:00:00	`Introduced`	NULL	`Organized camps.`	`Majority`	`No`	`Yes`	`No`	NULL	`No`	`No`	BILL_VERSION_TBL_6.lob	`Y`	`LEG_ESI`	2012-02-15 17:20:27
`20110SB108899INT`	`201120120SB1088`	99	2012-02-15 00:00:00	`Introduced`	NULL	`Pupils: readmission.`	`Majority`	`No`	`Yes`	`Yes`	NULL	`No`	`No`	BILL_VERSION_TBL_7.lob	`Y`	`LEG_ESI`	2012-02-15 17:20:33
`20110AB48496AMD`	`201120120AB484`	96	2012-02-15 00:00:00	`Amended Senate`	NULL	`Enterprise zones: expiration of designation.`	`Majority`	`No`	`Yes`	`No`	NULL	`No`	`No`	BILL_VERSION_TBL_8.lob	`Y`	`LEG_ESI`	2012-02-15 11:03:53
`20110AB169599INT`	`201120120AB1695`	99	2012-02-15 00:00:00	`Introduced`	NULL	`Sex offenders: identification.`	`Majority`	`No`	`Yes`	`Yes`	NULL	`No`	`No`	BILL_VERSION_TBL_9.lob	`Y`	`LEG_ESI`	2012-02-15 16:51:03
`20110SB108999INT`	`201120120SB1089`	99	2012-02-15 00:00:00	`Introduced`	NULL	`Community care facilities: delinquent and at-risk youth.`	`Majority`	`No`	`Yes`	`Yes`	NULL	`No`	`No`	BILL_VERSION_TBL_10.lob	`Y`	`LEG_ESI`	2012-02-15 17:20:39
`20110SB109099INT`	`201120120SB1090`	99	2012-02-15 00:00:00	`Introduced`	NULL	`Local government: omnibus bill.`	`Majority`	`No`	`No`	`No`	NULL	`No`	`No`	BILL_VERSION_TBL_11.lob	`Y`	`LEG_ESI`	2012-02-15 17:20:47
