`201120120AB41`	106667249	2010-12-06 00:00:00	`Read first time.  To print.`	`LEG_ESI`	2012-02-15 16:20:52	1	`1`	`Applied`	`Assembly`	`Desk`	NULL	`Pending Referral`
`201120120AB41`	106667250	2010-12-07 00:00:00	`From printer.  May be heard in committee  January  6.`	`LEG_ESI`	2012-02-15 16:20:52	2	`3`	`Applied`	`Assembly`	`Desk`	NULL	`Pending Referral`
`201120120AB41`	106667251	2011-01-24 00:00:00	`Referred to Com. on  E. & R.`	`LEG_ESI`	2012-02-15 16:20:52	3	`2`	`Applied`	`Assembly`	`Committee`	`CX04`	`In Committee Process`
`201120120AB41`	106667252	2011-03-16 00:00:00	`From committee: Do pass and re-refer to Com. on  APPR. with recommendation: to consent calendar. (Ayes  7. Noes  0.) (March  15). Re-referred to Com. on  APPR.`	`LEG_ESI`	2012-02-15 16:20:52	4	`7`	`Applied`	`Assembly`	`Committee`	`CX25`	`In Committee Process`
`201120120AB41`	106667253	2011-04-06 00:00:00	`From committee: Do pass. To consent calendar. (Ayes 16. Noes  0.) (April  6).`	`LEG_ESI`	2012-02-15 16:20:52	5	`9`	`Applied`	`Assembly`	`Floor`	`Second Reading`	`In Floor Process`
`201120120AB41`	106667254	2011-04-07 00:00:00	`Read second time. Ordered to consent calendar.`	`LEG_ESI`	2012-02-15 16:20:52	6	`24`	`Applied`	`Assembly`	`Floor`	`Consent`	`In Floor Process`
`201120120AB41`	106667255	2011-04-14 00:00:00	`Read third time. Passed. Ordered to the Senate. (Ayes 60. Noes  0. Page 981.)`	`LEG_ESI`	2012-02-15 16:20:52	7	`41`	`Applied`	`Assembly`	`E&E`	`Engrossing`	`Passed`
`201120120AB41`	106667256	2011-04-14 00:00:00	`In Senate.  Read first time.  To Com. on RLS. for assignment.`	`LEG_ESI`	2012-02-15 16:20:52	8	`112`	`Applied`	`Senate`	`Rules`	NULL	`Pending Referral`
`201120120SB1076`	106667081	2012-02-14 00:00:00	`Introduced.  Read first time.  To Com. on RLS. for assignment.  To print.`	`LEG_ESI`	2012-02-15 10:24:29	1	`126`	`Applied`	`Senate`	`Rules`	NULL	`Pending Referral`
`201120120SB1076`	106667082	2012-02-15 00:00:00	`From printer. May be acted upon on or after March  16.`	`LEG_ESI`	2012-02-15 10:24:29	2	`4`	`Applied`	`Senate`	`Rules`	NULL	`Pending Referral`
