`201120120HR1`	`20112012`	`0`	`HR`	1	`Introduced`	NULL	NULL	NULL	NULL	`20110HR199INT`	`Y`	`HS_INT`	2010-12-13 16:33:27	NULL	`Desk`	`Assembly`	`Passed`	NULL
`201120120SCA1`	`20112012`	`0`	`SCA`	1	`Introduced`	NULL	NULL	NULL	NULL	`20110SCA199INT`	`Y`	`HS_INT`	2011-03-31 15:27:57	`CS48`	`Committee`	`Senate`	`In Committee Process`	2011-01-06 00:00:00
`201120120HR2`	`20112012`	`0`	`HR`	2	`Introduced`	NULL	NULL	NULL	NULL	`20110HR299INT`	`Y`	`HS_INT`	2010-12-13 16:34:07	NULL	`Desk`	`Assembly`	`Passed`	NULL
`201120120SCA2`	`20112012`	`0`	`SCA`	2	`Amended Senate`	NULL	NULL	NULL	NULL	`20110SCA297AMD`	`Y`	`HS_INT`	2011-04-25 13:30:23	`CS73`	`Committee`	`Senate`	`In Committee Process`	2011-01-06 00:00:00
`201120120SB1`	`20112012`	`0`	`SB`	1	`Amended Senate`	NULL	NULL	NULL	NULL	`20110SB198AMD`	`Y`	`HS_INT`	2012-02-03 10:47:58	NULL	`Desk`	`Assembly`	`Pending Referral`	2011-01-06 00:00:00
`201120120SB2`	`20112012`	`0`	`SB`	2	`Introduced`	NULL	NULL	NULL	NULL	`20110SB299INT`	`Y`	`HS_INT`	2012-02-01 15:20:38	`CS69`	`Desk`	`Senate`	`Died`	2011-01-06 00:00:00
`201120120SB3`	`20112012`	`0`	`SB`	3	`Chaptered`	`2011`	`CHP`	`0`	`695`	`20110SB393CHP`	`Y`	`HS_INT`	2011-10-10 13:25:34	NULL	NULL	`Secretary of State`	`Chaptered`	2011-01-06 00:00:00
`201120120SB5`	`20112012`	`0`	`SB`	5	`Amended Senate`	NULL	NULL	NULL	NULL	`20110SB598AMD`	`Y`	`HS_INT`	2011-09-08 12:43:13	`CS53`	`Desk`	`Senate`	`Died`	2011-01-06 00:00:00
`201120120SB7`	`20112012`	`0`	`SB`	7	`Amended Senate`	NULL	NULL	NULL	NULL	`20110SB798AMD`	`Y`	`HS_INT`	2012-02-07 09:43:23	`CS58`	`Desk`	`Senate`	`Died`	2011-01-06 00:00:00
`201120120SB9`	`20112012`	`0`	`SB`	9	`Amended Assembly`	NULL	NULL	NULL	NULL	`20110SB994AMD`	`Y`	`HS_INT`	2012-02-14 10:27:02	`Third Reading`	`Floor`	`Assembly`	`In Floor Process`	2011-01-06 00:00:00
