`20110SCA499INT`	`201120120SCA4`	99	2010-12-06 00:00:00	`Introduced`	NULL	`Initiative measures: funding source.`	`Two Thirds`	`No`	`Yes`	`No`	NULL	`No`	`No`	BILL_VERSION_TBL_1.lob	`Y`	`LEG_ESI`	2010-12-06 18:36:37
`20110SB2199INT`	`201120120SB21`	99	2010-12-06 00:00:00	`Introduced`	NULL	`Long-term care: assessment and planning. `	`Majority`	`No`	`Yes`	`Yes`	NULL	`No`	`No`	BILL_VERSION_TBL_2.lob	`Y`	`LEG_ESI`	2010-12-06 18:36:47
`20110SB3599INT`	`201120120SB35`	99	2010-12-06 00:00:00	`Introduced`	NULL	`Energy: Public Interest Energy Research, Demonstration, and Development Program.`	`Two Thirds`	`No`	`Yes`	`Yes`	NULL	`No`	`No`	BILL_VERSION_TBL_3.lob	`Y`	`LEG_ESI`	2010-12-06 18:37:23
`20110SCA599INT`	`201120120SCA5`	99	2010-12-06 00:00:00	`Introduced`	NULL	`Taxation: educational entities: parcel tax.`	`Two Thirds`	`No`	`No`	`No`	NULL	`No`	`No`	BILL_VERSION_TBL_4.lob	`Y`	`LEG_ESI`	2010-12-06 18:37:33
`20110SB2299INT`	`201120120SB22`	99	2010-12-06 00:00:00	`Introduced`	NULL	`High-speed rail.`	`Majority`	`No`	`No`	`No`	NULL	`No`	`No`	BILL_VERSION_TBL_5.lob	`Y`	`LEG_ESI`	2010-12-06 18:37:45
`20110SB3699INT`	`201120120SB36`	99	2010-12-06 00:00:00	`Introduced`	NULL	` County Health Initiative Matching Fund. `	`Majority`	`No`	`Yes`	`No`	NULL	`No`	`No`	BILL_VERSION_TBL_6.lob	`Y`	`LEG_ESI`	2010-12-06 18:37:53
`20110SB2399INT`	`201120120SB23`	99	2010-12-06 00:00:00	`Introduced`	NULL	`Energy: renewable energy resources.`	`Majority`	`Yes`	`Yes`	`Yes`	NULL	`No`	`No`	BILL_VERSION_TBL_7.lob	`Y`	`LEG_ESI`	2010-12-06 18:38:32
`20110SB2499INT`	`201120120SB24`	99	2010-12-06 00:00:00	`Introduced`	NULL	`Personal information: privacy.`	`Majority`	`No`	`Yes`	`No`	NULL	`No`	`No`	BILL_VERSION_TBL_8.lob	`Y`	`LEG_ESI`	2010-12-06 18:40:15
`20110SCR199INT`	`201120120SCR1`	99	2010-12-06 00:00:00	`Introduced`	NULL	`Legislative Counsel of California.`	NULL	NULL	`No`	NULL	NULL	`No`	`No`	BILL_VERSION_TBL_9.lob	`Y`	`LEG_ESI`	2010-12-06 18:40:22
`20110SCR299INT`	`201120120SCR2`	99	2010-12-06 00:00:00	`Introduced`	NULL	`California Constitution Revision Commission.`	NULL	NULL	`Yes`	NULL	NULL	`No`	`No`	BILL_VERSION_TBL_10.lob	`Y`	`LEG_ESI`	2010-12-06 18:40:22
